ResourceID,MONNO,MONNO_TYPE,MONNAMEQ,NAME_TYPE,TPQ,TPQ_TYPE,TPQPREC_Valueid,TAQ,TAQ_TYPE,TAQPREC_Valueid,DESCRIPTION,DESCRIPTION_TYPE,WKT,DES_Valueid,REFERENCE,TYPE_Valueid,CP_Valueid
00000000-0000-0000-0000-00000000lhd4,4,838a206c-7975-4695-a2ae-1575b1e07984,"""Early Roman strip building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0080,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0150,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541850876251921 53.2268294423145),,,,
00000000-0000-0000-0000-00000000lhd4,,,,,,,,,,,,,,,,20ad070a-0609-4ace-ab2f-f42815bd0b2b,
00000000-0000-0000-0000-00000000lhd4,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-00000000lhd4,,,,,,,,,,,"""Structure 4. Mortared stone foundations of an east-west running wall, at least 26m long. This was part of a probable strip building of commercial function, gable-ended to Ermine Street. There were several phases with at least two, possibly, three rooms. Pottery evidence, coin loss and wear, and the presence of a cellar to the north suggest use as a tavern, with commercial activity - butchery waste - as well as domestic occupation. Roadside stalls were nearest the road, from the evidence of post holes, slots and gullies""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-00000000lhd5,5,838a206c-7975-4695-a2ae-1575b1e07984,"""Early Roman building/cellar, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0060,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0150,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541834985804995 53.2268562173672),,,16a2aeea-2292-47fd-9401-a22d74b1533e,
00000000-0000-0000-0000-00000000lhd5,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-00000000lhd5,,,,,,,,,,,"""Structure 13. Cellar, a possible north room of Structure 4 (MON 4) or a separate building. It was initially c1m deep and had a raised timber plank floor, and was later recut. The floor suggested cold storage. There was also pottery suggesting kitchen activities.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-00000000lhd6,6,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman industrial site, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0120,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0250,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541732301953314 53.2267920320966),,,c9f365c7-604d-4181-b263-5b670bdd23eb,
00000000-0000-0000-0000-00000000lhd6,,,,,,,,,,,,,,,,ec688c92-e02c-4de9-b846-3700951cf6fc,
00000000-0000-0000-0000-00000000lhd6,,,,,,,,,,,,,,,,,723ecc12-c987-4b69-8141-5ac56506077d
00000000-0000-0000-0000-00000000lhd6,,,,,,,,,,,,,,,,1369d0b1-9489-4ea5-a501-c66108b79937,
00000000-0000-0000-0000-00000000lhd6,,,,,,,,,,,,,,,,f185bc5c-9622-4a3a-8bc4-b3ee1f8e0878,
00000000-0000-0000-0000-00000000lhd6,,,,,,,,,,,,,,,,f909a4f2-07b9-477d-8bae-c3a6a88ed982,
00000000-0000-0000-0000-00000000lhd6,,,,,,,,,,,"""Bowl-shaped hearth, associated burnt and ashy layers, post holes, pits, interpreted as industrial activity. Surrounded by a curved ditch whose fill contained ash and iron slag, suggesting smithing.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-00000000lhd7,7,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman circular building/tavern, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0120,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0250,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541732301953314 53.2267920320966),,,20ad070a-0609-4ace-ab2f-f42815bd0b2b,
00000000-0000-0000-0000-00000000lhd7,,,,,,,,,,,,,,,,,723ecc12-c987-4b69-8141-5ac56506077d
00000000-0000-0000-0000-00000000lhd7,,,,,,,,,,,"""Structure 5. An elliptical or circular structure with a curved wall plastered internally, with clay floors. The overall diameter was 7m-8m. A large pit or post hole contained smashed pottery vessels. Two stone-packed post holes may have been associated. The building may have been used as a place for food and drink and was possibly destroyed by fire, perhaps in the kitchen.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-00000000lhd8,8,838a206c-7975-4695-a2ae-1575b1e07984,"""Ermine Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0060,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0250,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.538224527925447 53.2391729931793),,,62d7af0f-70ca-4082-9916-a2384d81a446,
00000000-0000-0000-0000-00000000lhd8,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-00000000lhd8,,,,,,,,,,,,,,,,,723ecc12-c987-4b69-8141-5ac56506077d
00000000-0000-0000-0000-00000000lhd8,,,,,,,,,,,"""Major Roman highway approaching Lincoln from south merging with Fosse Way close to St Marys Guildhall, continuing north along modern approximations of High Street, then to the west of Strait and Steep Hill, more directly along Bailgate and leaving city along Newport. It probably survived in use until the mid 9th century. South of divergence with Fosse Way, it was built on in c.12th century and is not visible in the fields beyond. Its course was traced on South Common in 2004, and it continues south, first on the west side of, then under, the Sleaford Road The name was revived in 18/19th C as Ermen/Herman/Hermine/Hermin Street.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-00000000lhd9,9,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0250,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0400,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541985035829548 53.2268490634376),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-00000000lhd9,,,,,,,,,,,,,,,,,02c57358-94a2-485f-a1a4-8caca75543a5
00000000-0000-0000-0000-00000000lhd9,,,,,,,,,,,,,,,,20ad070a-0609-4ace-ab2f-f42815bd0b2b,
00000000-0000-0000-0000-00000000lhd9,,,,,,,,,,,"""Structure 6. A north-south running wall, cobbles, floors, occupation material, pits, post holes. A structure fronting on to Ermine Street. Some cobbled surfaces are possibly edge of street. Pottery evidence of drinking vessels suggests it may have been a tavern.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd11,11,838a206c-7975-4695-a2ae-1575b1e07984,"""Late Saxon pits, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0900,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,1000,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.54174788709393 53.2267742431498),,,f909a4f2-07b9-477d-8bae-c3a6a88ed982,
00000000-0000-0000-0000-0000000lhd11,,,,,,,,,,,,,,,,,ff00a8ad-ef48-47a2-a120-7ef5ccb809a2
00000000-0000-0000-0000-0000000lhd11,,,,,,,,,,,"""A series of pits in the east part of the site, dated by pottery to the 10th century. Their use was probably for domestic rubbish, with a little evidence for industrial activity  (a crucible sherd and an antler fragment)""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd12,12,838a206c-7975-4695-a2ae-1575b1e07984,"""Late Saxon pits, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0900,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,1000,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541940417725113 53.2268395277156),,,f909a4f2-07b9-477d-8bae-c3a6a88ed982,
00000000-0000-0000-0000-0000000lhd12,,,,,,,,,,,,,,,,,ff00a8ad-ef48-47a2-a120-7ef5ccb809a2
00000000-0000-0000-0000-0000000lhd12,,,,,,,,,,,"""A series of pits in the west part of the site, dated by pottery and a bone skate to the 10th century. Their use was probably for domestic rubbish, with a little evidence for industrial activity""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd13,13,838a206c-7975-4695-a2ae-1575b1e07984,"""Late Saxon building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0950,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,1050,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541985035829548 53.2268490634376),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-0000000lhd13,,,,,,,,,,,,,,,,,ff00a8ad-ef48-47a2-a120-7ef5ccb809a2
00000000-0000-0000-0000-0000000lhd13,,,,,,,,,,,"""Structure 7. Building in two phases. First a possible timber-framed building; the evidence was a gully, ashy layers and post holes, replaced by an earth-fast building with a flat stone surface and post holes. Rubbish pits were dug to the side""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd14,14,838a206c-7975-4695-a2ae-1575b1e07984,"""Late Saxon building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0900,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,1050,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.54188113049604 53.2268208226655),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-0000000lhd14,,,,,,,,,,,,,,,,,ff00a8ad-ef48-47a2-a120-7ef5ccb809a2
00000000-0000-0000-0000-0000000lhd14,,,,,,,,,,,"""Structure 8. Building in two phases. First a possible timber-post building; the evidence was a row of post holes aligned east-west, with a later clay floor. Probably domestic, with its gable end facing the street, and rubbish pits to the side""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd15,15,838a206c-7975-4695-a2ae-1575b1e07984,"""Medieval building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,1280,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,1450,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541985035829548 53.2268490634376),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-0000000lhd15,,,,,,,,,,,,,,,,,15b4acda-d6b8-4228-bbc8-0b7a6cf6e133
00000000-0000-0000-0000-0000000lhd15,,,,,,,,,,,"""Structure 9. Stone foundations 0.84m wide of an east-west aligned building fronting on to the High Street c24m long, 4.75m wide, with the main north and south walls surviving. There were two internal north-south walls creating three rooms. The west north-south wall at the rear was also recorded. A pit to the east of the building was possibly an inbuilt garderobe. No floors survived demolition.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd16,16,838a206c-7975-4695-a2ae-1575b1e07984,"""Late medieval building, 181-183 High Street""",81dd62d2-6701-4195-b74b-8057456bba4b,1460,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,1650,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.541748497784941 53.2267562709654),,,c576bf4a-b5ba-4ba7-adac-57a5937a3b89,
00000000-0000-0000-0000-0000000lhd16,,,,,,,,,,,,,,,,,ad4d6359-5c0d-4a2d-8833-5fa3d1ef5879
00000000-0000-0000-0000-0000000lhd16,,,,,,,,,,,,,,,,,d1580b26-e4fb-41c0-a0ad-f3994064649c
00000000-0000-0000-0000-0000000lhd16,,,,,,,,,,,"""Structure 10. A stone-lined cellar was the only surviving evidence of a building replacing Structure 9. An important group of late 15th-early/mid 16th-century pottery, copper-alloy candlesticks, linen and glass""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd17,17,838a206c-7975-4695-a2ae-1575b1e07984,"""Close Wall""",81dd62d2-6701-4195-b74b-8057456bba4b,1285,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,2014,f21fd154-a96d-4b50-9fa9-dbab3c54d441,6f941ebf-bad2-444a-a8f8-e4393a5fb2ac,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.53502248527024 53.2342072558059),,,258792a6-2b33-4bcb-b3a6-b2e0099a7ccb,
00000000-0000-0000-0000-0000000lhd17,,,,,,,,,,,,,,bc908dbc-45ff-426c-8713-f622907730ab,1388665,,
00000000-0000-0000-0000-0000000lhd17,,,,,,,,,,,,,,,,,3425232f-e835-48c3-9ff4-4d7827b6f08a
00000000-0000-0000-0000-0000000lhd17,,,,,,,,,,,,,,,,,15b4acda-d6b8-4228-bbc8-0b7a6cf6e133
00000000-0000-0000-0000-0000000lhd17,,,,,,,,,,,,,,44f4e1ab-f0de-42e7-82a4-98156e9eac4d,"SAM 114 Close wall N of Old Palace and Priory Gate, SAM 68 The Pottergate / 1005009",,
00000000-0000-0000-0000-0000000lhd17,,,,,,,,,,,"""Defensive enclosure of the Close of Lincoln Cathedral. The Dean and Chapter were given license in 1285 to enclose the Cathedral precinct, for reasons of personal safety, with a wall of 12ft (3.64m.) It is probable that building did not commence immediately, as further grants were made in 1315 and afterwards. In 1316, licence was granted to crenellate and in 1318 to raise the height and build turrets. The work was complete by 1327. The wall east and west of D Isney Tower was made narrower and refaced in stone and brick, perhaps in the 16th century. The wall has been repaired at various times from the 17th to the 20th centuries. A section to the rear of the White Hart Hotel was removed in 1734 with the permission of the Dean and Chapter (Hill GL p4.) Part was exposed at Greestone Mount in 2002, with evidence of internal thickening. The wall is a Listed Building with its different sections and gates having separate references. 1)1941-1/7/90 5 East Bight. 2) 1941-1/9/109 25 Eastgate. 3) 1941-1/9/116 Exchequergate Lodge. 4) 1941-1/9/122 Greestone Stairs with arch and wall). 5) 1941-1/9/226 The Priory, 2 Minster Yard and attached Close Wall 6) 1941-1/9/249 Between 16A Minster Yard and the Deanery. 7) 1941-1/9/452 To south and west of Edward King House. 8) In Temple Gardens 1941-1/9/383. 9) Tower and section of Close wall bordering grounds of 5 Pottergate. 1941-1/10/401. 10) 1941-1/10/305 Pottergate Arch. 11) 1941-1/9/253 Wall at Deanery. 12) 1941-1/9/254 Exchequergate.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd18,18,838a206c-7975-4695-a2ae-1575b1e07984,"""Early Roman building Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0060,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0120,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.54324873773428 53.2227202061424),,,a5b3ae49-5abb-46cb-917c-390f7055e97c,
00000000-0000-0000-0000-0000000lhd18,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-0000000lhd18,,,,,,,,,,,"""Structure 1. Foundations of a east-west wall and the remains of a north-south return to the wall. Limestone rubble bonded with yellow-brown mortar. East-west gully or trench may be associated. Stone buildings of this date are unusual and this structure may have been a mausoleum. Its alignment was at right-angles to Ermine Street.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd19,19,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman gravestone slots  Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0050,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0120,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.543288472216004 53.2228735190238),,,61d45941-62ce-496e-a678-2d9c93c2756d,
00000000-0000-0000-0000-0000000lhd19,,,,,,,,,,,,,,,,0f6d88b9-1971-4787-97a0-36e1d0e6e220,
00000000-0000-0000-0000-0000000lhd19,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-0000000lhd19,,,,,,,,,,,"""Two slot-shaped pits possibly headstone sockets/gravestone markers.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd20,20,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman cremation burials  Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0060,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0120,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.543305580141965 53.2228107993259),,,61d45941-62ce-496e-a678-2d9c93c2756d,
00000000-0000-0000-0000-0000000lhd20,,,,,,,,,,,,,,,,dc142b3b-9029-49e8-ab6d-e343482ec865,
00000000-0000-0000-0000-0000000lhd20,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-0000000lhd20,,,,,,,,,,,,,,,,02f7ffeb-df0f-44e1-b9d8-92f018aa1f7d,
00000000-0000-0000-0000-0000000lhd20,,,,,,,,,,,"""Four cremation burials with a fifth possible. In one, the cremation was contained in a rusticated jar. Ages were young juvenile (5-7), adult, juvenile/subadult (5-18) and unknown. Associated finds included hobnails, glass unguent vessels and a mirror.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd21,21,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman iron working site, Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0060,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0120,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.543290607071419 53.2228106162935),,,7c046852-34ca-4757-92fe-0ed9b71a8e54,
00000000-0000-0000-0000-0000000lhd21,,,,,,,,,,,,,,,,,ca94f12a-7acc-4289-9d54-b993535b3b8b
00000000-0000-0000-0000-0000000lhd21,,,,,,,,,,,"""Thick laminated deposit of hammerscale. Hearth bottom and secondary smithing slag and hammerscale. Shallow gullies may represent land division or drip gullies.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd22,22,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman road / lane 1,  Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0100,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0200,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.543231934754765 53.2227739397285),,,62d7af0f-70ca-4082-9916-a2384d81a446,
00000000-0000-0000-0000-0000000lhd22,,,,,,,,,,,,,,,,,723ecc12-c987-4b69-8141-5ac56506077d
00000000-0000-0000-0000-0000000lhd22,,,,,,,,,,,"""A N-S running lane surface, consisting of large stones with rubble, cobbles and pebbles rammed in between. No signs to indicate heavy or prolonged use.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd23,23,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman building Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0200,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0300,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.543231934754765 53.2227739397285),,,,
00000000-0000-0000-0000-0000000lhd23,,,,,,,,,,,,,,,,,723ecc12-c987-4b69-8141-5ac56506077d
00000000-0000-0000-0000-0000000lhd23,,,,,,,,,,,"""Structure 2. Limestone wall of mortared roughly cut faced blocks on pitched foundations, probably the north wall of a building. It cut through the earliest lane surface (MON22). Possible traders building.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd24,24,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman building Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0200,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0300,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.543183660573282 53.2228722377414),,,,
00000000-0000-0000-0000-0000000lhd24,,,,,,,,,,,,,,,,,723ecc12-c987-4b69-8141-5ac56506077d
00000000-0000-0000-0000-0000000lhd24,,,,,,,,,,,"""Structure 3. Roughly faced limestone rubble bonded with yellow-brown mortar 0.6m wide. Building a little over 5m wide internally, east-west extent being more than 13.5m. There was a well-constructed floor on a foundation of limestone rubble. The clay floors in the western part sealed an earlier paved floor. Possible traders building.""",eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,
00000000-0000-0000-0000-0000000lhd25,25,838a206c-7975-4695-a2ae-1575b1e07984,"""Roman building and pit, Monson Street""",81dd62d2-6701-4195-b74b-8057456bba4b,0200,cf4d3fee-1c66-499c-a087-13eb3a069807,a65753a5-c15b-4d07-a33b-459418b5156b,0300,f21fd154-a96d-4b50-9fa9-dbab3c54d441,a65753a5-c15b-4d07-a33b-459418b5156b,,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,POINT (-0.543183660573282 53.2228722377414),,,,
00000000-0000-0000-0000-0000000lhd25,,,,,,,,,,,,,,,,f909a4f2-07b9-477d-8bae-c3a6a88ed982,
00000000-0000-0000-0000-0000000lhd25,,,,,,,,,,,,,,,,,723ecc12-c987-4b69-8141-5ac56506077d
